sampleID	Mouse_ID	UCAR_Cage_Number	Diet	Supplement	Diet_Supplement	week	weight	TibiaCFU-g	AbscessCFU-g
DMOF6_C1_wk14	C1	UCAR1519090	Lean	Cellulose	Lean_CL	14	29.1		
DMOF6_C2_wk14	C2	UCAR1519090	Lean	Cellulose	Lean_CL	14			
DMOF6_C3A_wk14	C3A	UCAR1519090	Lean	Cellulose	Lean_CL	14	32.6		
DMOF6_C3B_wk14	C3B	UCAR1519090	Lean	Cellulose	Lean_CL	14	32.6		
DMOF6_C4_wk14	C4	UCAR1519090	Lean	Cellulose	Lean_CL	14	24.9		
DMOF6_D1_wk14	D1	UCAR1519091	HighFat	Cellulose	Obese_CL	14	37.8		
DMOF6_D2_wk14	D2	UCAR1519091	HighFat	Cellulose	Obese_CL	14	44.4		
DMOF6_D3_wk14	D3	UCAR1519091	HighFat	Cellulose	Obese_CL	14	49.3		
DMOF6_D4_wk14	D4	UCAR1519091	HighFat	Cellulose	Obese_CL	14	45.9		
DMOF6_E1_wk14	E1	UCAR1519092	Lean	Oligofructose	Lean_OF	14	30.3		
DMOF6_E2A_wk14	E2A	UCAR1519092	Lean	Oligofructose	Lean_OF	14	30.6		
DMOF6_E2B_wk14	E2B	UCAR1519092	Lean	Oligofructose	Lean_OF	14	30.6		
DMOF6_E3_wk14	E3	UCAR1519092	Lean	Oligofructose	Lean_OF	14	29.4		
DMOF6_E4_wk14	E4	UCAR1519092	Lean	Oligofructose	Lean_OF	14			
DMOF6_F1_wk14	F1	UCAR1519093	HighFat	Oligofructose	Obese_OF	14	51.8		
DMOF6_F2_wk14	F2	UCAR1519093	HighFat	Oligofructose	Obese_OF	14	45		
DMOF6_F3_wk14	F3	UCAR1519093	HighFat	Oligofructose	Obese_OF	14	49.2		
DMOF6_F4_wk14	F4	UCAR1519093	HighFat	Oligofructose	Obese_OF	14	45.5		
DMOF6_G1_wk14	G1	UCAR1519094	Lean	Oligofructose	Lean_OF	14	26.8		
DMOF6_G2_wk14	G2	UCAR1519094	Lean	Oligofructose	Lean_OF	14	27.1		
DMOF6_G3_wk14	G3	UCAR1519094	Lean	Oligofructose	Lean_OF	14	31.9		
